alg,semplified,steps,time
LPA,false,5,3186
LPA,false,10,4839
LPA,false,15,5552
LPA,false,20,6548
LPA,false,25,8735
LPA,false,30,8849
LPA,false,35,10803
LPA,false,40,13747
LPA,false,45,14575
LPA,false,50,15773
LPA,true,5,3112
LPA,true,10,5292
LPA,true,15,4627
LPA,true,20,5862
LPA,true,25,7095
LPA,true,30,7915
LPA,true,35,8136
LPA,true,40,9688
LPA,true,45,10600
LPA,true,50,10714
LPA_spark,false,5,48933
LPA_spark,false,10,49189
LPA_spark,false,15,99301
LPA_spark,false,20,58737
LPA_spark,false,25,93949
LPA_spark,false,30,56843
LPA_spark,false,35,66968
LPA_spark,false,40,69851
LPA_spark,false,45,84556
LPA_spark,false,50,77196
LPA_spark,true,5,42084
LPA_spark,true,10,66195
LPA_spark,true,15,57664
LPA_spark,true,20,67866
LPA_spark,true,25,68471
LPA_spark,true,30,75458
LPA_spark,true,35,93663
LPA_spark,true,40,89475
LPA_spark,true,45,120799
LPA_spark,true,50,128393
DLPA,false,5,6844
DLPA,false,10,11416
DLPA,false,15,19085
DLPA,false,20,17944
DLPA,false,25,29273
DLPA,false,30,28104
DLPA,false,35,34995
DLPA,false,40,29030
DLPA,false,45,30624
DLPA,false,50,33955
DLPA,true,5,8263
DLPA,true,10,9245
DLPA,true,15,12218
DLPA,true,20,14539
DLPA,true,25,17801
DLPA,true,30,18859
DLPA,true,35,25185
DLPA,true,40,24600
DLPA,true,45,22916
DLPA,true,50,29879
LPA_pregel,false,5,91838
LPA_pregel,false,10,89012
LPA_pregel,false,15,89026
LPA_pregel,false,20,90320
LPA_pregel,false,25,96620
LPA_pregel,false,30,89683
LPA_pregel,false,35,104933
LPA_pregel,false,40,103111
LPA_pregel,false,45,115611
LPA_pregel,false,50,126445
LPA_pregel,true,5,66840
LPA_pregel,true,10,63888
LPA_pregel,true,15,70832
LPA_pregel,true,20,72114
LPA_pregel,true,25,79646
LPA_pregel,true,30,85000
LPA_pregel,true,35,87681
LPA_pregel,true,40,91872
LPA_pregel,true,45,96479
LPA_pregel,true,50,102139
LPA_shuffle,false,5,3490
LPA_shuffle,false,10,4449
LPA_shuffle,false,15,6095
LPA_shuffle,false,20,6672
LPA_shuffle,false,25,7897
LPA_shuffle,false,30,9090
LPA_shuffle,false,35,10440
LPA_shuffle,false,40,11694
LPA_shuffle,false,45,12593
LPA_shuffle,false,50,13245
LPA_shuffle,true,5,3729
LPA_shuffle,true,10,4559
LPA_shuffle,true,15,5682
LPA_shuffle,true,20,7214
LPA_shuffle,true,25,7593
LPA_shuffle,true,30,8827
LPA_shuffle,true,35,10360
LPA_shuffle,true,40,10876
LPA_shuffle,true,45,12732
LPA_shuffle,true,50,14111
